,NO,RUAS,PANJANG,IRI_RATA,SDI_RATA,LEBAR_RATA,IRI_BAIK,IRI_SEDANG,IRI_RUSAK_RINGAN,IRI_RUSAK_BERAT,IRI_TOTAL,SDI_BAIK,SDI_SEDANG,SDI_RUSAK_RINGAN,SDI_RUSAK_BERAT,SDI_TOTAL,LESS_ENAM,ENAM_TUJUH,TUJUH_EMPAT_BELAS,GREATER_EMPAT_BELAS,PANJANG_TOTAL,BIAYA_IRI,BIAYA_SDI
0,001.,BTS. PROV. JAMBI - PENINGGALAN,90.15,9.245146977260124,68.06267332224067,7.121464201958393,9.799999999999981,40.150000000000304,18.599999999999994,21.600000000000037,90.1500000000003,25.7500000000001,28.10000000000013,36.00000000000024,0.30000000000000004,90.15000000000047,0.0,50.250000000000455,39.9000000000003,0.0,90.15000000000074,265307100000.0003,152740500000.00098
1,002.,PENINGGALAN - SEI LILIN,33.940999999999995,9.465513685513098,69.50953124539642,6.8860316928283485,4.699999999999998,13.199999999999967,7.34099999999999,8.699999999999985,33.940999999999946,12.84099999999997,5.099999999999998,15.899999999999961,0.1,33.940999999999924,0.0,31.64100000000019,2.3000000000000007,0.0,33.94100000000019,106131735999.99983,66887449999.99984
2,003.,SEI LILIN - BETUNG,43.8,7.954337899543378,55.52511415525114,7.000000000000001,6.499999999999992,22.500000000000053,7.799999999999986,6.999999999999992,43.80000000000002,17.899999999999984,12.599999999999973,12.999999999999973,0.30000000000000004,43.79999999999993,0.0,43.80000000000035,0.0,0.0,43.80000000000035,93878799999.99988,57364999999.99988
3,004.,BETUNG - BTS. KOTA PALEMBANG,56.16,6.670584045584046,33.367165242165235,7.062286328046754,3.5000000000000018,42.760000000000346,9.299999999999985,0.6,56.16000000000032,34.56000000000022,14.999999999999964,6.499999999999992,0.1,56.16000000000018,0.6,33.80000000000021,21.760000000000037,0.0,56.160000000000245,45589799999.99995,29965999999.999973
4,004.1AK,JLN. R. SUKAMTO (PALEMBANG),1.4450000000000005,4.8615916955017315,28.719723183391,14.999999999999998,0.6,0.845,0.0,0.0,1.4449999999999998,0.945,0.5,0.0,0.0,1.4449999999999998,0.0,0.0,0.0,1.445,1.445,72250000.0,72250000.0
5,004.1BK,JLN. BASUKI RAHMAT (PALEMBANG),2.0500000000000003,4.7560975609756095,31.46341463414634,15.536585365853655,0.75,1.2,0.1,0.0,2.05,1.35,0.6,0.1,0.0,2.0500000000000003,0.0,0.0,0.0,2.0500000000000003,2.0500000000000003,507100000.0,507100000.0
6,004.1CK,JLN. DEMANG LEBAR DAUN (PALEMBANG,4.0,6.1,49.95,18.225,0.5,2.600000000000001,0.8999999999999999,0.0,4.000000000000001,1.9000000000000008,1.4,0.7,0.0,4.000000000000001,0.0,0.0,0.0,4.000000000000002,4.000000000000002,3841400000.0,3032200000.0
7,004.1DK,JLN. PRAMESWARA (PALEMBANG),0.73,5.0410958904109595,36.50684931506849,9.0,0.2,0.53,0.0,0.0,0.73,0.4300000000000001,0.30000000000000004,0.0,0.0,0.7300000000000001,0.0,0.0,0.73,0.0,0.73,36500000.0,36500000.00000001
8,004.11K,JLN. KOLONEL H. BURLIAN (PALEMBAN,5.199999999999998,6.403846153846155,66.51923076923079,21.71153846153848,1.1,3.200000000000001,0.6,0.30000000000000004,5.200000000000001,1.9000000000000008,2.400000000000001,0.5,0.4,5.200000000000002,0.0,0.0,1.1,4.100000000000001,5.200000000000001,5264600000.0,5719000000.0
9,004.12K,JLN. SUTAN MAHMUD BADARUDIN (PALE,2.900000000000001,4.551724137931034,51.72413793103447,6.9517242004131425,1.2,1.7000000000000004,0.0,0.0,2.9000000000000004,0.8999999999999999,2.0000000000000004,0.0,0.0,2.9000000000000004,0.0,2.600000000000001,0.30000000000000004,0.0,2.9000000000000012,145000000.0,145000000.0
